年度,問題番号,問題文,選択肢1,選択肢2,選択肢3,選択肢4,正解
平成26年,5,法令改正により問題不成立のため省略 ― 2 ― 〈平成26年度〉,,― 〈平成26年度〉,,,ー
平成26年,6,Ａは、Ｂに建物の建築を注文し、完成して引渡しを受けた建物をＣに対して売却 した。本件建物に契約不適合があった場合に関する次の記述のうち、民法の規定及び判例によ れば、正しいものはどれか。,Ｃは、売買契約において本件建物に欠陥があることについて合意していた場合であっても、 その欠陥の存在を知ってから１年以内にその旨をＡに通知すれば、Ａに対して売買契約に基 づく担保責任を追及することができる。,Ｂが建物としての基本的な安全性が欠けることがないように配慮すべき義務を怠ったため に本件建物に基本的な安全性を損なう契約不適合がある場合には、当該契約不適合によって 損害を被ったＣは、特段の事情がない限り、Ｂに対して不法行為責任に基づく損害賠償を請 求できる。,ＣがＢに対して本件建物の契約不適合に関して不法行為責任に基づく損害賠償を請求する 場合、当該請求ができる期間は、Ｃが契約不適合の存在に気付いてから１年以内である。,本件建物に存在している契約不適合のために請負契約を締結した目的を達成することがで きない場合でも、ＡはＢとの契約を一方的に解除することができない。,2
平成26年,7,賃貸人Ａから賃借人Ｂが借りたＡ所有の甲土地の上に、Ｂが乙建物を所有する場 合における次の記述のうち、民法の規定及び判例によれば、正しいものはどれか。なお、Ｂは、 自己名義で乙建物の保存登記をしているものとする。,ＢがＡに無断で乙建物をＣに月額10万円の賃料で貸した場合、Ａは、借地の無断転貸を理 由に、甲土地の賃貸借契約を解除することができる。,Ｃが甲土地を不法占拠してＢの土地利用を妨害している場合、Ｂは、Ａの有する甲土地の 所有権に基づく妨害排除請求権を代位行使してＣの妨害の排除を求めることができるほか、 自己の有する甲土地の賃借権に基づいてＣの妨害の排除を求めることができる。,ＢがＡの承諾を得て甲土地を月額15万円の賃料でＣに転貸した場合、ＡＢ間の賃貸借契約 がＢの債務不履行で解除されても、ＡはＣに解除を対抗することができない。,ＡＢ間で賃料の支払時期について特約がない場合、Ｂは、当月末日までに、翌月分の賃料 を支払わなければならない。 ― 3 ― 〈宅地建物取引士資格試験〉,2
平成26年,8,不法行為に関する次の記述のうち、民法の規定及び判例によれば、正しいものは どれか。,不法行為による損害賠償請求権の期間の制限を定める民法第724条第１号における、被害 者が損害を知った時とは、被害者が損害の発生を現実に認識した時をいう。,不法行為による損害賠償債務の不履行に基づく遅延損害金債権は、当該債権が発生した時 から10年間行使しないことにより、時効によって消滅する。,不法占拠により日々発生する損害については、加害行為が終わった時から一括して消滅時 効が進行し、日々発生する損害を知った時から別個に消滅時効が進行することはない。,不法行為の加害者が海外に在住している間は、民法第724条第２号の20年の時効期間は進 行しない。,1
平成26年,9,後見人制度に関する次の記述のうち、民法の規定によれば、正しいものはどれか。,成年被後見人が第三者との間で建物の贈与を受ける契約をした場合には、成年後見人は、 当該法律行為を取り消すことができない。,成年後見人が、成年被後見人に代わって、成年被後見人が居住している建物を売却する場 合には、家庭裁判所の許可を要しない。,未成年後見人は、自ら後見する未成年者について、後見開始の審判を請求することはでき ない。,成年後見人は家庭裁判所が選任する者であるが、未成年後見人は必ずしも家庭裁判所が選 任する者とは限らない。,4
平成26年,10,Ａには、父のみを同じくする兄Ｂと、両親を同じくする弟Ｃ及び弟Ｄがいたが、 Ｃ及びＤは、Ａより先に死亡した。Ａの両親は既に死亡しており、Ａには内縁の妻Ｅがいるが、 子はいない。Ｃには子Ｆ及び子Ｇが、Ｄには子Ｈがいる。Ａが、令和７年８月１日に遺言を残 さずに死亡した場合の相続財産の法定相続分として、民法の規定によれば、正しいものはどれ か。,Ｅが２分の１、Ｂが６分の１、Ｆが９分の１、Ｇが９分の１、Ｈが９分の１である。,Ｂが３分の１、Ｆが９分の２、Ｇが９分の２、Ｈが９分の２である。,Ｂが５分の１、Ｆが５分の１、Ｇが５分の１、Ｈが５分の２である。,Ｂが５分の１、Ｆが15分の４、Ｇが15分の４、Ｈが15分の４である。 ― 4 ― 〈平成26年度〉,3
平成26年,11,甲土地の所有者が甲土地につき、建物の所有を目的として賃貸する場合（以下 「ケース①」という。）と、建物の所有を目的とせずに資材置場として賃貸する場合（以下「 ケース②」という。）に関する次の記述のうち、民法及び借地借家法の規定によれば、正しい ものはどれか。,賃貸借の存続期間を60年と定めた場合には、ケース①では書面で契約を締結しなければ期 間が30年となってしまうのに対し、ケース②では口頭による合意であっても期間は60年とな る。,ケース①では、賃借人は、甲土地の上に登記されている建物を所有している場合には、甲 土地が第三者に売却されても賃借人であることを当該第三者に対抗できるが、ケース②では、 甲土地が第三者に売却された場合に賃借人であることを当該第三者に対抗する方法はない。,期間を定めない契約を締結した後に賃貸人が甲土地を使用する事情が生じた場合において、 ケース①では賃貸人が解約の申入れをしても合意がなければ契約は終了しないのに対し、ケ ース②では賃貸人が解約の申入れをすれば契約は申入れの日から１年を経過することによっ て終了する。,賃貸借の期間を定めた場合であって当事者が期間内に解約する権利を留保していないとき、 ケース①では賃借人側は期間内であっても１年前に予告することによって中途解約すること ができるのに対し、ケース②では賃貸人も賃借人もいつでも一方的に中途解約することがで きる。,3
平成26年,12,借地借家法第38条の定期建物賃貸借（以下この問において「定期建物賃貸借」 という。）に関する次の記述のうち、借地借家法の規定及び判例によれば、誤っているものは どれか。,定期建物賃貸借契約を締結するには、公正証書による等書面又は電磁的記録によらなけれ ばならない。,定期建物賃貸借契約を締結するときは、期間を１年未満としても、期間の定めがない建物 の賃貸借契約とはみなされない。,定期建物賃貸借契約を締結するには、当該契約に係る賃貸借は契約の更新がなく、期間の 満了によって終了することを、当該契約書と同じ書面内に記載して説明すれば足りる。,定期建物賃貸借契約を締結しようとする場合、賃貸人が、当該契約に係る賃貸借は契約の 更新がなく、期間の満了によって終了することを説明しなかったときは、契約の更新がない 旨の定めは無効となる。 ― 5 ― 〈宅地建物取引士資格試験〉,3
平成26年,13,建物の区分所有等に関する法律（以下この問において「法」という。）に関す る次の記述のうち、誤っているものはどれか。,区分所有者の団体は、区分所有建物が存在すれば、区分所有者を構成員として当然に成立 する団体であるが、管理組合法人になることができるものは、区分所有者の数が30人以上の ものに限られる。,専有部分が数人の共有に属するときの集会の招集の通知は、法第40条の規定に基づく議決 権を行使すべき者にすればよく、共有者間で議決権を行使すべき者が定められていない場合 は、共有者のいずれか一人にすればよい。,建物の価格の２分の１以下に相当する部分が滅失した場合、規約で別段の定めがない限り、 各区分所有者は、滅失した共用部分について、復旧の工事に着手するまでに復旧決議、建替 え決議又は一括建替え決議があったときは、復旧することができない。,管理者が、規約の保管を怠った場合や、利害関係人からの請求に対して正当な理由がない のに規約の閲覧を拒んだ場合は、20万円以下の過料に処せられる。,1
平成26年,14,不動産の登記に関する次の記述のうち、誤っているものはどれか。,表示に関する登記を申請する場合には、申請人は、その申請情報と併せて登記原因を証す る情報を提供しなければならない。,新たに生じた土地又は表題登記がない土地の所有権を取得した者は、その所有権の取得の 日から１月以内に、表題登記を申請しなければならない。,信託の登記の申請は、当該信託に係る権利の保存、設定、移転又は変更の登記の申請と同 時にしなければならない。,仮登記は、仮登記の登記義務者の承諾があるときは、当該仮登記の登記権利者が単独で申 請することができる。 ― 6 ― 〈平成26年度〉,1
平成26年,15,都市計画法に関する次の記述のうち、誤っているものはどれか。,都市計画区域については、用途地域が定められていない土地の区域であっても、一定の場 合には、都市計画に、地区計画を定めることができる。,高度利用地区は、市街地における土地の合理的かつ健全な高度利用と都市機能の更新とを 図るため定められる地区であり、用途地域内において定めることができる。,準都市計画区域においても、用途地域が定められている土地の区域については、市街地開 発事業を定めることができる。,高層住居誘導地区は、住居と住居以外の用途とを適正に配分し、利便性の高い高層住宅の 建設を誘導するために定められる地区であり、近隣商業地域及び準工業地域においても定め ることができる。,3
平成26年,16,"次のアからウまでの記述のうち、都市計画法による開発許可を受ける必要のあ る、又は同法第34条の２の規定に基づき協議する必要のある開発行為の組合せとして、正しい ものはどれか。ただし、開発許可を受ける必要のある、又は協議する必要のある開発行為の面 積については、条例による定めはないものとする。 ア 市街化調整区域において、国が設置する医療法に規定する病院の用に供する施設である建 築物の建築の用に供する目的で行われる1,500㎡の開発行為 イ 市街化区域において、農林漁業を営む者の居住の用に供する建築物の建築の用に供する目 的で行われる1,200㎡の開発行為 ウ 区域区分が定められていない都市計画区域において、社会教育法に規定する公民館の用に 供する施設である建築物の建築の用に供する目的で行われる4,000㎡の開発行為",ア、イ,ア、ウ,イ、ウ,ア、イ、ウ ― 7 ― 〈宅地建物取引士資格試験〉,1
平成26年,17,建築基準法に関する次の記述のうち、正しいものはどれか。,住宅の地上階における居住のための居室には、採光のための窓その他の開口部を設け、そ の採光に有効な部分の面積は、国土交通大臣が定める基準に従い、照明設備の設置、有効な 採光方法の確保その他これらに準ずる措置が講じられているものを除き、その居室の床面積 に対して７分の１以上としなければならない。,建築確認の対象となり得る工事は、建築物の建築、大規模の修繕及び大規模の模様替であ り、建築物の移転は対象外である。,高さ15ｍの建築物には、周囲の状況によって安全上支障がない場合を除き、有効に避雷設 備を設けなければならない。,準防火地域内において建築物の屋上に看板を設ける場合は、その主要な部分を不燃材料で 造り、又は覆わなければならない。,1
平成26年,18,建築基準法（以下この問において「法」という。）に関する次の記述のうち、 誤っているものはどれか。,"店舗の用途に供する建築物で当該用途に供する部分の床面積の合計が10,000㎡を超えるも のは、原則として工業地域内では建築することができない。",学校を新築しようとする場合には、法第48条の規定による用途制限に適合するとともに、 都市計画により敷地の位置が決定されていなければ新築することができない。,特別用途地区内においては、地方公共団体は、国土交通大臣の承認を得て、条例で、法第 48条の規定による建築物の用途制限を緩和することができる。,都市計画において定められた建ぺい率の限度が10分の８とされている地域外で、かつ、防 火地域内にある耐火建築物の建ぺい率については、都市計画において定められた建ぺい率の 数値に10分の１を加えた数値が限度となる。 ― 8 ― 〈平成26年度〉,2
平成26年,19,宅地造成及び特定盛土等規制法に関する次の記述のうち、誤っているものはど れか。なお、この問において「都道府県知事」とは、地方自治法に基づく指定都市、中核市及 び特例市にあってはその長をいうものとする。,宅地造成等工事規制区域内において、宅地を宅地以外の土地にするために行われる切土で あって、当該切土をする土地の面積が600㎡で、かつ、高さ３ｍの崖を生ずることとなるも のに関する工事については、一定の場合を除き、都道府県知事の許可を受けなければならな い。,都道府県知事は、宅地造成等工事規制区域内において行われる宅地造成等に関する工事の 許可に付した条件に違反した者に対して、その許可を取り消すことができる。,土地の占有者は、都道府県知事又はその命じた者若しくは委任した者が、基礎調査のため に当該土地に立ち入って測量又は調査を行う場合、正当な理由がない限り、立入りを拒み、 又は妨げてはならない。,宅地造成等工事規制区域内において行われる宅地造成等に関する工事の許可を受けた者は、 主務省令で定める軽微な変更を除き、当該工事の計画を変更しようとするときは、遅滞なく、 その旨を都道府県知事に届け出なければならない。,4
平成26年,20,土地区画整理法に関する次の記述のうち、正しいものはどれか。,施行者は、宅地の所有者の申出又は同意があった場合においては、その宅地を使用し、又 は収益することができる権利を有する者に補償をすれば、換地計画において、その宅地の全 部又は一部について換地を定めないことができる。,施行者は、施行地区内の宅地について換地処分を行うため、換地計画を定めなければなら ない。この場合において、当該施行者が土地区画整理組合であるときは、その換地計画につ いて市町村長の認可を受けなければならない。,関係権利者は、換地処分があった旨の公告があった日以降いつでも、施行地区内の土地及 び建物に関する登記を行うことができる。,土地区画整理事業の施行により公共施設が設置された場合においては、その公共施設は、 換地処分があった旨の公告があった日の翌日において、原則としてその公共施設の所在する 市町村の管理に属することになる。 ― 9 ― 〈宅地建物取引士資格試験〉,4
平成26年,21,農地法（以下この問において「法」という。）に関する次の記述のうち、正し いものはどれか。,農地について法第３条第１項の許可があったときは所有権が移転する旨の停止条件付売買 契約を締結し、それを登記原因とする所有権移転の仮登記を申請する場合には、その買受人 は農業委員会に届出をしなければならない。,市街化区域内の農地について、耕作の目的に供するために競売により所有権を取得しよう とする場合には、その買受人は法第３条第１項の許可を受ける必要はない。,農業者が住宅の改築に必要な資金を銀行から借りるために、自己所有の農地に抵当権を設 定する場合には、法第３条第１項の許可を受ける必要はない。,山林を開墾し現に農地として耕作している土地であっても、土地登記簿上の地目が山林で あれば、法の適用を受ける農地とはならない。,3
平成26年,22,次の記述のうち、誤っているものはどれか。,国土利用計画法によれば、同法第23条の届出に当たっては、土地売買等の対価の額につい ても都道府県知事（地方自治法に基づく指定都市にあっては、当該指定都市の長）に届け出 なければならない。,森林法によれば、保安林において立木を伐採しようとする者は、一定の場合を除き、都道 府県知事の許可を受けなければならない。,海岸法によれば、海岸保全区域内において土地の掘削、盛土又は切土を行おうとする者は、 一定の場合を除き、海岸管理者の許可を受けなければならない。,都市緑地法によれば、特別緑地保全地区内において建築物の新築、改築又は増築を行おう とする者は、一定の場合を除き、公園管理者の許可を受けなければならない。,4
平成26年,23,住宅用家屋の所有権の移転登記に係る登録免許税の税率の軽減措置に関する次 の記述のうち、正しいものはどれか。,この税率の軽減措置は、一定の要件を満たせばその住宅用家屋の敷地の用に供されている 土地に係る所有権の移転の登記にも適用される。,この税率の軽減措置は、個人が自己の経営する会社の従業員の社宅として取得した住宅用 家屋に係る所有権の移転の登記にも適用される。,この税率の軽減措置は、以前にこの措置の適用を受けたことがある者が新たに取得した住 宅用家屋に係る所有権の移転の登記には適用されない。,この税率の軽減措置は、所有権の移転の登記に係る住宅用家屋が、昭和57年１月１日以後 に建築された建築物に該当していても、床面積が50㎡未満の場合には適用されない。 ― 10 ― 〈平成26年度〉,4
平成26年,24,不動産取得税に関する次の記述のうち、正しいものはどれか。,不動産取得税は、不動産の取得に対して、当該不動産の所在する市町村において課する税 であり、その徴収は普通徴収の方法によらなければならない。,共有物の分割による不動産の取得については、当該不動産の取得者の分割前の当該共有物 に係る持分の割合を超えなければ不動産取得税が課されない。,不動産取得税は、独立行政法人及び地方独立行政法人に対しては、課することができない。,相続による不動産の取得については、不動産取得税が課される。,2
平成26年,25,地価公示法に関する次の記述のうち、正しいものはどれか。,土地鑑定委員会は、標準地の価格の総額を官報で公示する必要はない。,土地の使用収益を制限する権利が存する土地を標準地として選定することはできない。,不動産鑑定士が土地鑑定委員会の求めに応じて標準地の鑑定評価を行うに当たっては、標 準地の鑑定評価額が前年の鑑定評価額と変わらない場合は、その旨を土地鑑定委員会に申告 することにより、鑑定評価書の提出に代えることができる。,不動産鑑定士は、土地鑑定委員会の求めに応じて標準地の鑑定評価を行うに当たっては、 近傍類地の取引価格から算定される推定の価格を基本とし、必要に応じて、近傍類地の地代 等から算定される推定の価格及び同等の効用を有する土地の造成に要する推定の費用の額を 勘案しなければならない。 ― 11 ― 〈宅地建物取引士資格試験〉,1
平成26年,26,宅地建物取引業の免許（以下この問において「免許」という。）に関する次の 記述のうち、宅地建物取引業法の規定によれば、正しいものはいくつあるか。 ア Ａの所有する商業ビルを賃借しているＢが、フロアごとに不特定多数の者に反復継続して 転貸する場合、ＡとＢは免許を受ける必要はない。 イ 宅地建物取引業者Ｃが、Ｄを代理して、Ｄの所有するマンション（30戸）を不特定多数の 者に反復継続して分譲する場合、Ｄは免許を受ける必要はない。 ウ Ｅが転売目的で反復継続して宅地を購入する場合でも、売主が国その他宅地建物取引業法 の適用がない者に限られているときは、Ｅは免許を受ける必要はない。 エ Ｆが借金の返済に充てるため、自己所有の宅地を10区画に区画割りして、不特定多数の者 に反復継続して売却する場合、Ｆは免許を受ける必要はない。,一つ,二つ,三つ,なし,1
平成26年,27,宅地建物取引業法（以下この問において「法」という。）に関する次の記述の うち、正しいものはどれか。,契約締結権限を有する者を置き、継続的に業務を行う場所であっても、商業登記簿に登載 されていない事務所は、法第３条第１項に規定する事務所には該当しない。,国土交通大臣又は都道府県知事は、免許に条件を付すことができるが、免許の更新に当た っても条件を付すことができる。,法人である宅地建物取引業者が株主総会の決議により解散することとなった場合、その法 人を代表する役員であった者は、その旨を当該解散の日から30日以内に免許を受けた国土交 通大臣又は都道府県知事に届け出なければならない。,免許申請中である者が、宅地建物取引業を営む目的をもって宅地の売買に関する新聞広告 を行った場合であっても、当該宅地の売買契約の締結を免許を受けた後に行うのであれば、 法第12条に違反しない。 ― 12 ― 〈平成26年度〉,2
平成26年,28,宅地建物取引業者Ａ（甲県知事免許）が乙県内に建設したマンション（100戸） の販売について、宅地建物取引業者Ｂ（国土交通大臣免許）及び宅地建物取引業者Ｃ（甲県知 事免許）に媒介を依頼し、Ｂが当該マンションの所在する場所の隣接地（乙県内）に、Ｃが甲 県内にそれぞれ案内所を設置し、売買契約の申込みを受ける業務を行う場合における次の記述 のうち、宅地建物取引業法（以下この問において「法」という。）の規定によれば、誤ってい るものはどれか。,Ｂは国土交通大臣及び乙県知事に、Ｃは甲県知事に、業務を開始する日の10日前までに法 第50条第２項に定める届出をしなければならない。,Ａは、法第50条第２項に定める届出を甲県知事及び乙県知事へ届け出る必要はないが、当 該マンションの所在する場所に法第50条第１項で定める標識を掲示しなければならない。,Ｂは、その設置した案内所の業務に従事する者の数５人に対して１人以上の割合となる数 の専任の宅地建物取引士を当該案内所に置かなければならない。,Ａは、Ｃが設置した案内所においてＣと共同して契約を締結する業務を行うこととなった。 この場合、Ａが当該案内所に専任の宅地建物取引士を設置すれば、Ｃは専任の宅地建物取引 士を設置する必要はない。,3
平成26年,29,宅地建物取引業法に規定する営業保証金に関する次の記述のうち、正しいもの はどれか。,新たに宅地建物取引業を営もうとする者は、営業保証金を金銭又は国土交通省令で定める 有価証券により、主たる事務所の最寄りの供託所に供託した後に、国土交通大臣又は都道府 県知事の免許を受けなければならない。,"宅地建物取引業者は、既に供託した額面金額1,000万円の国債証券と変換するため1,000万 円の金銭を新たに供託した場合、遅滞なく、その旨を免許を受けた国土交通大臣又は都道府 県知事に届け出なければならない。",宅地建物取引業者は、事業の開始後新たに従たる事務所を設置したときは、その従たる事 務所の最寄りの供託所に政令で定める額を供託し、その旨を免許を受けた国土交通大臣又は 都道府県知事に届け出なければならない。,宅地建物取引業者が、営業保証金を金銭及び有価証券をもって供託している場合で、主た る事務所を移転したためその最寄りの供託所が変更したときは、金銭の部分に限り、移転後 の主たる事務所の最寄りの供託所への営業保証金の保管替えを請求することができる。 ― 13 ― 〈宅地建物取引士資格試験〉,2
平成26年,30,宅地建物取引業者Ａが行う業務に関する次の記述のうち、宅地建物取引業法の 規定によれば、正しいものはどれか。,Ａは、新築分譲マンションを建築工事の完了前に販売しようとする場合、建築基準法第６ 条第１項の確認を受ける前において、当該マンションの売買契約の締結をすることはできな いが、当該販売に関する広告をすることはできる。,Ａは、宅地の売買に関する広告をするに当たり、当該宅地の形質について、実際のものよ りも著しく優良であると人を誤認させる表示をした場合、当該宅地に関する注文がなく、売 買が成立しなかったときであっても、監督処分及び罰則の対象となる。,Ａは、宅地又は建物の売買に関する広告をする際に取引態様の別を明示した場合、当該広 告を見た者から売買に関する注文を受けたときは、改めて取引態様の別を明示する必要はな い。,Ａは、一団の宅地の販売について、数回に分けて広告をするときは、最初に行う広告以外 は、取引態様の別を明示する必要はない。,2
平成26年,31,宅地建物取引業者Ａが、自ら売主として宅地建物取引業者ではない買主Ｂとの 間で宅地の売買契約を締結する場合における次の記述のうち、宅地建物取引業法の規定によれ ば、誤っているものはいくつあるか。 ア Ａが当該宅地の種類又は品質に関して契約の内容に適合しない場合におけるその不適合を 担保すべき責任に関し、買主がその不適合を売主に通知すべき期間を売買契約に係る宅地の 引渡しの日から３年間とする特約は、無効である。 イ Ａは、Ｂに売却予定の宅地の一部に甲市所有の旧道路敷が含まれていることが判明したた め、甲市に払下げを申請中である。この場合、Ａは、重要事項説明書に払下申請書の写しを 添付し、その旨をＢに説明すれば、売買契約を締結することができる。 ウ 「手付放棄による契約の解除は、契約締結後30日以内に限る」旨の特約を定めた場合、契 約締結後30日を経過したときは、Ａが契約の履行に着手していなかったとしても、Ｂは、手 付を放棄して契約の解除をすることができない。,一つ,二つ,三つ,なし ― 14 ― 〈平成26年度〉,3
平成26年,32,宅地建物取引業者Ａは、ＢからＢ所有の宅地の売却について媒介の依頼を受け た。この場合における次の記述のうち、宅地建物取引業法（以下この問において「法」という。 ）の規定によれば、誤っているものはいくつあるか。なお、書面の交付には、依頼者の承諾を 得て行う電磁的方法による提供を含むものとする。 ア ＡがＢとの間で専任媒介契約を締結し、Ｂから「売却を秘密にしておきたいので指定流通 機構への登録をしないでほしい」旨の申出があった場合、Ａは、そのことを理由に登録をし なかったとしても法に違反しない。 イ ＡがＢとの間で媒介契約を締結した場合、Ａは、Ｂに対して遅滞なく法第34条の２第１項 の規定に基づく書面を交付しなければならないが、Ｂが宅地建物取引業者であるときは、当 該書面の交付を省略することができる。 ウ ＡがＢとの間で有効期間を３月とする専任媒介契約を締結した場合、期間満了前にＢから 当該契約の更新をしない旨の申出がない限り、当該期間は自動的に更新される。 エ ＡがＢとの間で一般媒介契約（専任媒介契約でない媒介契約）を締結し、当該媒介契約に おいて、重ねて依頼する他の宅地建物取引業者を明示する義務がある場合、Ａは、Ｂが明示 していない他の宅地建物取引業者の媒介又は代理によって売買の契約を成立させたときの措 置を法第34条の２第１項の規定に基づく書面に記載しなければならない。,一つ,二つ,三つ,四つ ― 15 ― 〈宅地建物取引士資格試験〉,3
平成26年,33,"宅地建物取引業者Ａが、自ら売主として買主との間で建築工事完了前の建物を5, 000万円で売買する契約をした場合において、宅地建物取引業法第41条第１項に規定する手付 金等の保全措置（以下この問において「保全措置」という。）に関する次の記述のうち、同法 に違反するものはどれか。","Ａは、宅地建物取引業者であるＢと契約を締結し、保全措置を講じずに、Ｂから手付金と して1,000万円を受領した。","Ａは、宅地建物取引業者でないＣと契約を締結し、保全措置を講じた上でＣから1,000万 円の手付金を受領した。",Ａは、宅地建物取引業者でないＤと契約を締結し、保全措置を講じることなくＤから手付 金100万円を受領した後、500万円の保全措置を講じた上で中間金500万円を受領した。,Ａは、宅地建物取引業者でないＥと契約を締結し、Ｅから手付金100万円と中間金500万 円を受領したが、既に当該建物についてＡからＥへの所有権移転の登記を完了していたため、 保全措置を講じなかった。,3
平成26年,34,宅地建物取引業者が行う宅地建物取引業法第35条に規定する重要事項の説明に 関する次の記述のうち、正しいものはどれか。,建物の売買の媒介を行う場合、当該建物の売主に耐震診断の記録の有無を照会したにもか かわらず、当該有無が判別しないときは、自ら耐震診断を実施し、その結果を説明する必要 がある。,建物の貸借の媒介を行う場合、当該建物が津波防災地域づくりに関する法律第23条第１項 の規定に基づく津波防護施設区域に位置しているときはその旨を説明する必要があるが、同 法第53条第１項の規定に基づく津波災害警戒区域に位置しているときであってもその旨は説 明する必要はない。,建物の売買の媒介を行う場合、売主が特定住宅瑕疵担保責任の履行の確保等に関する法律 に基づく住宅販売瑕疵担保保証金の供託を行うときは、その措置の概要を説明する必要があ るが、当該建物の種類又は品質に関して契約の内容に適合しない場合におけるその不適合を 担保すべき責任の履行に関し保証保険契約の締結を行うときは、その措置の概要を説明する 必要はない。,区分所有権の目的である建物の貸借の媒介を行う場合、その専有部分の用途その他の利用 制限に関する規約の定めがあるときはその内容を説明する必要があるが、１棟の建物又はそ の敷地の専用使用権に関する規約の定めについては説明する必要がない。 ― 16 ― 〈平成26年度〉,4
平成26年,35,宅地建物取引業法第35条に規定する重要事項の説明及び同条の規定により交付 すべき書面（以下この問において「35条書面」という。）に関する次の記述のうち、同法の規 定によれば、誤っているものはどれか。なお、書面の交付には、宅地建物取引業者の相手方等 の承諾を得て行う電磁的方法による提供を含むものとする。,宅地建物取引業者は、買主の自宅で35条書面を交付して説明を行うことができる。,宅地建物取引業者は、中古マンションの売買を行う場合、抵当権が設定されているときは、 契約日までにその登記が抹消される予定であっても、当該抵当権の内容について説明しなけ ればならない。,宅地建物取引士は、宅地建物取引士証の有効期間が満了している場合、35条書面に記名す ることはできるが、取引の相手方に対し説明はできない。,宅地建物取引業者は、土地の割賦販売の媒介を行う場合、割賦販売価格のみならず、現金 販売価格についても説明しなければならない。,3
平成26年,36,建物の貸借の媒介を行う宅地建物取引業者が、その取引の相手方（宅地建物取 引業者ではない）に対して行った次の発言内容のうち、宅地建物取引業法の規定に違反しない ものはどれか。なお、この問において「重要事項説明」とは同法第35条の規定に基づく重要事 項の説明をいい、「重要事項説明書」とは同条の規定により交付すべき書面をいうものとする。,重要事項説明のため、明日お宅にお伺いする当社の者は、宅地建物取引士ではありません が、当社の最高責任者である代表取締役ですので、重要事項説明をする者として問題ござい ません。,この物件の契約条件につきましては、お手元のチラシに詳しく書いてありますので、重要 事項説明は、内容が重複するため省略させていただきます。ただ、重要事項説明書の交付は、 法律上の義務ですので、入居後、郵便受けに入れておきます。,この物件の担当である宅地建物取引士が急用のため対応できなくなりましたが、せっかく お越しいただきましたので、重要事項説明書にある宅地建物取引士欄を訂正の上、宅地建物 取引士である私が記名をし、代わりに重要事項説明をさせていただきます。私の宅地建物取 引士証をお見せします。,この物件は人気物件ですので、申込みをいただいた時点で契約成立とさせていただきます。 後日、重要事項説明書を兼ねた契約書を送付いたしますので、署名押印の上、返送していた だければ、手続は全て完了いたします。 ― 17 ― 〈宅地建物取引士資格試験〉,3
平成26年,37,"宅地建物取引業者Ａ及び宅地建物取引業者Ｂ（共に消費税課税事業者）が受け 取る報酬に関する次の記述のうち、正しいものはいくつあるか。 ア Ａが居住用建物の貸借の媒介をするに当たり、依頼者からの依頼に基づくことなく広告を した場合でも、その広告が貸借の契約の成立に寄与したとき、Ａは、報酬とは別に、その広 告料金に相当する額を請求できる。 イ Ａは売主から代理の依頼を受け、Ｂは買主から媒介の依頼を受けて、代金4,000万円の宅地 の売買契約を成立させた場合、Ａは売主から277万2,000円、Ｂは買主から138万6,000円の 報酬をそれぞれ受けることができる。 ウ Ａは貸主から、Ｂは借主から、それぞれ媒介の依頼を受けて、共同して居住用建物（長期 の空家等には該当しない。）の賃貸借契約を成立させた場合、貸主及び借主の承諾を得てい れば、Ａは貸主から、Ｂは借主からそれぞれ借賃の1.10か月分の報酬を受けることができる。",一つ,二つ,三つ,なし,4
平成26年,38,宅地建物取引業者Ａが、自ら売主として宅地建物取引業者でない買主Ｂとの間 で締結した宅地の売買契約について、Ｂが宅地建物取引業法第37条の２の規定に基づき、いわ ゆるクーリング・オフによる契約の解除をする場合における次の記述のうち、正しいものはど れか。,Ａは、喫茶店でＢから買受けの申込みを受け、その際にクーリング・オフについて書面で 告げた上で契約を締結した。その７日後にＢから契約の解除の書面を受けた場合、Ａは、代 金全部の支払を受け、当該宅地をＢに引き渡していても契約の解除を拒むことができない。,Ａは、Ｂが指定した喫茶店でＢから買受けの申込みを受け、Ｂにクーリング・オフについ て何も告げずに契約を締結し、７日が経過した。この場合、Ｂが指定した場所で契約を締結 しているので、Ａは、契約の解除を拒むことができる。,Ｂは、Ａの仮設テント張りの案内所で買受けの申込みをし、その３日後にＡの事務所でク ーリング・オフについて書面で告げられた上で契約を締結した。この場合、Ａの事務所で契 約を締結しているので、Ｂは、契約の解除をすることができない。,Ｂは、Ａの仮設テント張りの案内所で買受けの申込みをし、Ａの事務所でクーリング・オ フについて書面で告げられた上で契約を締結した。この書面の中で、クーリング・オフによ る契約の解除ができる期間を14日間としていた場合、Ｂは、契約の締結の日から10日後であ っても契約の解除をすることができる。 ― 18 ― 〈平成26年度〉,4
